0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.1,2,2.5,3.5,3.8,3,130.3,111.5,86.5,51.3,30.4,137.2,119.6,94.8,58.4,35.5,,
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.2,2.1,2.6,3.7,3.9,3.1,130.2,111.8,86.7,51.4,30.5,137.3,119.6,95,58.5,35.6,,
-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.3,2.2,2.7,3.8,4,3.1,130.3,112,86.8,51.5,30.7,137.2,119.7,95.2,58.5,35.6,,1
-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.8,,,1.5,1.8,1.3,2.3,2.8,3.8,4.1,3.2,130.6,112,86.9,51.5,30.8,137.1,119.8,95.3,58.4,35.6,,1.1
-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8,,,1.5,1.8,1.4,2.3,2.8,3.9,4.2,3.2,130.9,112,87.1,51.6,30.9,137.2,119.8,95.4,58.5,35.6,,1.2
-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8,,1.2,1.5,1.9,1.4,2.3,2.9,4,4.3,3.3,130.9,112.4,87.3,51.8,30.9,137.2,119.7,95.4,58.6,35.5,,1.3
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.1,0.8,1.1,1.3,1.6,1.9,1.4,2.4,2.9,4.2,4.4,3.5,130.9,112.9,87.5,52,30.8,137.4,119.7,95.4,58.6,35.6,,1.3
-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,0.9,1.1,1.4,1.7,1.9,1.4,2.5,3,4.3,4.4,3.5,131.1,113,87.7,52.1,30.7,137.6,119.7,95.5,58.7,35.7,,1.3
-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,0.9,1.1,1.4,1.7,2,1.4,2.6,3.2,4.3,4.5,3.6,131.2,113.1,87.8,52.3,30.9,137.3,119.7,95.6,58.7,35.9,,1.3
-82,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,1.1,1.2,1.3,1,1,1.5,1.7,2,1.5,2.8,3.3,4.5,4.7,3.7,131.4,113.2,87.8,52.4,31.2,137.1,119.8,95.5,58.8,36,,1.3
-81,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,1.1,1.1,1.2,1.3,1.1,1.1,1.5,1.7,2,1.5,2.8,3.5,4.7,4.8,3.8,131.5,113.3,87.9,52.5,31.3,137.1,119.9,95.3,58.8,35.9,,1.3
-80,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1,0.8,1.1,1.1,1.2,1.3,1,1.2,1.6,1.8,2.1,1.5,2.9,3.6,4.8,5,3.9,131.5,113.3,88,52.6,31.3,137,119.9,95.4,58.7,35.8,1.3,1.6
-79,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,1.1,0.8,1.1,1.1,1.3,1.2,1,1.2,1.6,1.9,2.1,1.5,2.8,3.8,4.9,5.1,3.9,131.6,113.3,88.2,52.7,31.3,137,119.8,95.5,58.7,35.7,1.3,1.5
-78,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,1.1,0.8,1.1,1.2,1.3,1.2,1.1,1.3,1.7,2,2.2,1.5,3,4,5.1,5.2,4.1,131.8,113.5,88.4,52.8,31.2,137,119.9,95.5,58.7,35.7,1.2,1.6
-77,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.9,1.1,0.9,1.1,1.3,1.4,1.3,1.2,1.3,1.7,2,2.3,1.6,3.2,4,5.2,5.3,4.2,131.9,113.9,88.6,52.7,31.4,137,119.9,95.5,58.8,35.9,1.2,1.6
-76,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.9,0.8,1,0.9,1.2,1.4,1.4,1.3,1.1,1.3,1.8,2,2.3,1.7,3.4,4.2,5.4,5.4,4.3,131.8,113.8,88.8,52.7,31.6,137,119.9,95.4,58.9,36.1,1.2,1.4
-75,,,,,,,,,,,,,,,,,,,,0.3,0.5,0.7,0.9,1,0.8,1.3,0.9,1.2,1.4,1.5,1.2,1.1,1.4,1.9,2.1,2.4,1.7,3.6,4.3,5.6,5.5,4.4,131.8,113.7,88.9,52.7,31.7,137.1,119.9,95.3,58.9,36.2,1.6,1.4
-74,,,,,,,,,,,,,,,,,,,,0.3,0.6,0.7,1,1.2,0.8,1.5,0.9,1.2,1.4,1.5,1.5,1.2,1.5,1.9,2.2,2.5,1.8,3.7,4.5,5.8,5.6,4.5,131.8,113.9,89,52.8,31.7,137.2,119.9,95.3,59,36.1,1.5,1.6
-73,,,,,,,,,,,,,,,,,,,0.4,0.4,0.6,0.8,1,1.2,0.8,1.4,0.9,1.2,1.5,1.6,1.5,1.3,1.5,1.9,2.3,2.5,1.8,3.7,4.8,6,5.8,4.7,131.8,114,89,52.9,31.8,137,119.9,95.4,59,36.1,1.4,1.7
-72,,,,,,,,,,,,,,,,,,,0.4,0.4,0.6,0.8,1,1.2,0.9,1.3,0.9,1.3,1.6,1.6,1.5,1.3,1.4,2,2.4,2.6,1.9,3.8,4.9,6.2,6.1,4.8,131.8,114.2,88.8,53,31.8,136.8,120,95.6,59,36.1,1.4,1.8
-71,,,,,,,,,,,,,,,,,,0.5,0.5,0.4,0.6,0.8,1,1.2,0.9,1.2,1,1.3,1.7,1.6,1.6,1.2,1.5,2.1,2.5,2.6,1.9,4,5.1,6.5,6.3,5,131.8,114.4,89,53.1,31.8,136.8,120,95.8,59.1,36.1,1.5,1.9
-70,,,,,,,,,,,,,,,,0.4,0.4,0.5,0.6,0.5,0.7,0.8,1,1.2,1,1.4,1,1.4,1.8,1.6,1.4,1.3,1.6,2.1,2.6,2.7,1.9,4.2,5.2,6.8,6.5,5.3,131.5,114.4,89.3,53.1,31.7,136.7,119.8,95.8,59.2,36,1.6,1.6
-69,,,,,,,,,,,,,,,0.2,0.4,0.4,0.6,0.6,0.5,0.8,0.9,1.1,1.2,1,1.1,1.1,1.4,1.9,1.7,1.5,1.4,1.6,2.1,2.7,2.8,2,4.4,5.5,7,6.7,5.6,131.5,114.4,89.4,53.3,31.7,136.6,119.7,95.7,59.3,36.1,1.8,1.6
-68,,,,,,,,,,,,,,,0.2,0.4,0.5,0.6,0.6,0.5,0.8,0.9,1.2,1.3,1,1.1,1.1,1.4,1.9,1.9,1.6,1.4,1.7,2.2,2.8,2.9,2.1,4.5,5.7,7.2,6.9,6.4,131.7,114.2,89.5,53.5,31.9,136.6,119.7,95.7,59.3,36.3,2,1.8
-67,,,,,,,,,,,,,,0.3,0.2,0.4,0.5,0.7,0.6,0.5,0.8,0.9,1.2,1.3,1,1.2,1.1,1.4,1.9,2,1.7,1.4,1.7,2.3,2.8,3.1,2.2,4.6,6,7.5,7.2,7.4,131.9,114.1,89.6,53.5,31.9,136.6,119.7,95.6,59.4,36.2,1.9,1.8
-66,,,,,,,,,,,,,0.4,0.3,0.3,0.4,0.6,0.7,0.7,0.6,0.9,0.9,1.3,1.3,1,1.5,1.2,1.5,1.9,2,1.7,1.5,1.9,2.4,2.9,3.2,2.2,4.8,6.3,7.8,7.5,9.2,131.9,114.2,89.8,53.5,31.9,136.6,119.8,95.7,59.5,36.1,1.9,1.8
-65,,,,,,,,,,,0.4,0.2,0.4,0.3,0.3,0.4,0.6,0.7,0.7,0.6,0.9,0.9,1.3,1.4,1.1,1.5,1.3,1.6,2,2.1,1.8,1.5,1.9,2.5,3,3.3,2.3,5.1,6.6,8.2,8.1,12.3,131.8,114.3,89.7,53.6,31.9,136.8,119.9,95.8,59.4,36.2,2.1,1.9
-64,,,,,,,,,,,0.4,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.6,0.8,0.9,1.4,1.4,1.1,1.5,1.4,1.6,2.1,2.2,1.7,1.6,2,2.6,3.1,3.4,2.4,5.3,6.9,8.5,8.8,15.9,131.7,114.4,89.7,53.7,31.9,136.9,119.9,95.9,59.3,36.3,2.3,1.8
-63,,,,,,,,,,,0.3,0.3,0.4,0.4,0.2,0.3,0.7,0.7,0.7,0.6,0.8,1,1.5,1.5,1.1,1.5,1.3,1.8,2.2,2.2,1.9,1.6,2.1,2.6,3.2,3.4,2.5,5.5,7.2,8.8,9.8,19.2,131.6,114.5,89.8,53.7,32,136.7,119.8,96.1,59.3,36.5,2.3,1.9
-62,,,,,,,,,,0,0.3,0.3,0.4,0.5,0.3,0.4,0.7,0.7,0.8,0.6,0.9,1.1,1.5,1.6,1.1,1.5,1.3,1.9,2.3,2.3,1.9,1.7,2.1,2.8,3.4,3.4,2.5,5.8,7.5,9.5,12.1,21.5,131.8,114.5,90,53.7,32,136.6,119.8,96.1,59.5,36.6,2.3,2.1
-61,,,,,,,,,0.3,0.1,0.3,0.3,0.4,0.5,0.4,0.4,0.7,0.7,0.8,0.6,0.9,1.2,1.6,1.6,1.1,1.6,1.4,2,2.4,2.3,1.9,1.8,2.2,3,3.5,3.5,2.6,6.1,8,10.3,15.5,22.6,131.9,114.4,90,53.8,32,136.7,119.8,96,59.4,36.5,2.3,2.1
-60,,,,,,0.2,0,0.1,0.4,0,0.3,0.3,0.4,0.5,0.4,0.4,0.7,0.8,0.8,0.7,1,1.2,1.6,1.6,1.1,1.6,1.5,2,2.6,2.4,2.1,1.8,2.4,3,3.7,3.6,2.6,6.4,8.6,11.2,21.5,23.2,132,114.4,89.9,54.1,32.1,136.8,119.7,95.9,59.3,36.4,2.4,2
-59,,,,,,0.2,0,0.1,0.4,0,0.3,0.3,0.5,0.5,0.4,0.5,0.7,0.9,0.9,0.6,1,1.2,1.7,1.6,1.1,1.6,1.6,2.1,2.7,2.5,1.9,1.7,2.5,3.1,3.9,3.7,2.6,6.8,9.4,12.2,28.8,23.8,132,114.5,90,54.1,32.1,136.6,119.7,95.8,59.3,36.4,2.3,2.3
-58,,,,,,0.2,0.1,0.2,0.4,0,0.4,0.3,0.5,0.6,0.4,0.6,0.7,0.9,1,0.6,1.1,1.3,1.6,1.6,1.2,1.7,1.7,2.1,2.8,2.5,1.9,1.9,2.6,3.2,4.1,3.8,2.8,7.3,10.4,14.3,34.9,24,131.6,114.5,90.1,54,32.1,136.4,119.7,95.9,59.4,36.5,2.4,2.2
-57,,,,,,0.2,0.2,0.3,0.3,0,0.5,0.4,0.4,0.6,0.4,0.6,0.8,1,1,0.7,1.2,1.4,1.7,1.7,1.2,1.9,1.7,2.2,2.8,2.7,2,2,2.6,3.4,4.3,3.9,2.9,8,11.8,18.3,38.5,24.2,131.5,114.5,90.2,54,32.2,136.6,119.7,95.9,59.4,36.5,2.7,2.3
-56,,,,,0.1,0.2,0.2,0.3,0.3,0,0.4,0.4,0.4,0.6,0.4,0.6,0.7,1,1,0.8,1.2,1.5,1.8,1.8,1.3,2.1,1.8,2.3,3,2.8,2.3,2,2.7,3.6,4.4,4.1,2.9,9,13.5,25.4,40.4,24.4,131.7,114.5,90.3,53.9,32.4,136.6,119.6,95.9,59.4,36.5,2.8,2.4
-55,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.4,0.4,0.5,0.6,0.4,0.7,0.7,1,1,0.9,1.2,1.6,1.9,1.9,1.3,2.1,1.8,2.4,3.1,2.9,2.5,2,2.8,3.8,4.6,4.2,3.1,10.4,17.8,38.3,41.3,24.7,131.9,114.6,90.2,54,32.4,136.6,119.6,95.9,59.4,36.4,2.8,2.4
-54,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.1,0.5,0.4,0.5,0.7,0.4,0.7,0.8,1,1.1,0.9,1.2,1.6,2,1.9,1.4,1.9,1.9,2.5,3.3,3,2.5,2.1,3,4,4.8,4.3,3.3,12.5,25,53.2,42,24.7,131.8,114.4,90.1,54.2,32.3,136.5,119.6,95.9,59.5,36.3,2.7,2.2
-53,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.1,0.5,0.5,0.6,0.7,0.4,0.7,0.9,1.1,1,0.9,1.2,1.7,2.1,2,1.5,2,2,2.7,3.5,3,2.4,2.1,3.1,4.2,4.9,4.5,3.4,18.5,40.3,64.1,42.5,24.7,131.7,114.1,90.1,54.1,32.2,136.3,119.6,95.8,59.5,36.4,3.1,2.4
-52,0.1,0.2,0.1,0,0.2,0.2,0.2,0.3,0.3,0.1,0.4,0.5,0.6,0.6,0.4,0.7,1,1.1,1,1,1.2,1.7,2.2,2.1,1.5,2.2,2.1,2.8,3.6,3.1,2.6,2.2,3.2,4.4,5.1,4.7,3.5,29.5,61,70.3,43,24.8,131.6,114.3,90.2,54,32.2,136.1,119.7,95.8,59.5,36.5,3.1,2.5
-51,0.1,0.2,0.1,0,0.3,0.2,0.2,0.3,0.3,0.1,0.4,0.5,0.7,0.6,0.3,0.7,1,1.3,1.1,1,1.3,1.8,2.3,2.1,1.5,2.2,2.2,3,3.7,3.2,2.5,2.3,3.4,4.6,5.4,4.9,3.8,53,79.5,73.1,43.3,25,131.5,114.6,90.2,54.1,32.3,136,119.7,95.9,59.5,36.6,3.2,2.3
-50,0.2,0.1,0.1,0,0.2,0.2,0.2,0.2,0.2,0,0.4,0.5,0.7,0.6,0.4,0.7,1,1.4,1.1,1.1,1.4,1.9,2.4,2.2,1.5,2.3,2.3,3.1,3.9,3.3,2.6,2.3,3.6,4.8,5.7,5.2,4.1,81.1,91.5,74.4,43.5,25.1,131.6,114.6,90.3,54.3,32.4,135.9,119.6,95.9,59.5,36.6,3.4,2.5
-49,0.2,0.1,0,0,0.1,0.3,0.3,0.2,0.3,0,0.5,0.6,0.7,0.7,0.4,0.8,1,1.4,1.1,1,1.5,2,2.5,2.2,1.6,2.4,2.4,3.3,4,3.5,2.8,2.4,3.8,5,6,5.4,4.7,101.6,96.4,75.5,43.8,25.2,131.6,114.6,90.4,54.3,32.4,136,119.4,96,59.4,36.6,3.5,2.8
-48,0.1,0,0,0.1,0.1,0.3,0.3,0.2,0.4,0,0.5,0.6,0.7,0.8,0.5,0.8,1.2,1.5,1.2,1,1.5,2.1,2.6,2.3,1.7,2.6,2.5,3.4,4.1,3.6,2.8,2.6,4,5.3,6.3,5.7,5.5,112.5,98.8,76.2,44,25.2,131.6,114.5,90.5,54.4,32.4,136,119.4,95.8,59.3,36.6,3.5,3
-47,0.1,0,0,0.1,0.1,0.3,0.3,0.3,0.4,0,0.5,0.7,0.7,0.8,0.5,0.8,1.4,1.5,1.3,1,1.6,2.2,2.7,2.4,1.8,2.8,2.6,3.6,4.3,3.7,3,2.8,4.2,5.5,6.6,6.2,6.9,116.7,100,76.8,44.1,25.3,131.6,114.3,90.4,54.3,32.3,135.9,119.4,95.5,59.4,36.7,3.7,3.2
-46,0.1,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0,0.5,0.8,0.8,0.8,0.5,0.9,1.4,1.6,1.4,0.9,1.7,2.3,2.8,2.4,1.8,3.1,2.7,3.8,4.5,3.9,3.1,2.9,4.4,5.9,7,6.7,9.2,119.4,101,77.3,44.3,25.4,131.5,114.3,90.2,54.2,32.3,135.8,119.3,95.5,59.5,36.8,3.9,3.2
-45,0.1,0,0,0.1,0,0.2,0.2,0.4,0.3,0.1,0.6,0.8,1,0.8,0.5,1,1.5,1.7,1.4,1,1.8,2.4,2.9,2.6,1.9,3.2,2.9,4,4.7,4.1,3,3,4.6,6.3,7.4,7.7,12.4,120.5,101.9,77.8,44.4,25.5,131.5,114.4,90.2,54.3,32.3,135.7,119.2,95.6,59.5,36.8,4.2,3.3
-44,0.2,0.1,0.1,0,0.1,0.2,0.2,0.4,0.3,0.2,0.6,0.8,1,0.8,0.5,1.1,1.6,1.8,1.5,1.1,1.9,2.5,3.1,2.8,2,3.5,3.1,4.1,5,4.3,3.3,3.2,4.9,6.9,8.1,9.7,15.7,121.2,102.6,78.1,44.4,25.6,131.3,114.4,90.3,54.5,32.3,135.5,119.2,95.7,59.5,36.8,4.3,3.5
-43,0.2,0.1,0.1,0,0.1,0.2,0.3,0.3,0.3,0.3,0.6,0.9,1,0.9,0.6,1.1,1.7,1.8,1.6,1.1,2,2.7,3.2,2.9,2,3.6,3.3,4.3,5.3,4.5,4,3.4,5.4,7.5,9.1,12.7,18.4,121.7,103.1,78.4,44.6,25.7,131.2,114.3,90.3,54.5,32.3,135.3,119.1,95.8,59.6,36.7,4.3,4
-42,0.2,0.1,0.1,0,0.1,0.2,0.4,0.4,0.4,0.2,0.6,1,1,0.9,0.6,1.1,1.8,1.9,1.6,1.1,2.2,2.9,3.4,2.9,2.1,3.5,3.4,4.6,5.6,4.8,4.6,4.3,5.9,8.5,10.4,18.3,20.2,122,103.4,78.6,44.9,25.8,131.1,114.2,90.2,54.5,32.3,135.1,118.9,95.8,59.6,36.6,4.3,4.9
-41,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.2,0.5,1,1,1,0.7,1.2,1.9,2,1.7,1.3,2.4,3,3.5,3.1,2.1,3.9,3.6,5,6,5.3,5.4,5.1,6.8,9.7,13,25.5,21.2,122.2,103.7,78.8,45.1,25.9,131,114,90.2,54.5,32.3,135.1,118.8,95.7,59.6,36.6,4.4,5.9
-40,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.2,0.7,0.9,1.1,1.1,0.7,1.3,1.9,2.1,1.9,1.4,2.4,3.1,3.7,3.2,2.2,4.1,3.9,5.4,6.4,5.9,7.2,6.9,7.9,11.7,18,31.7,21.8,122.3,103.9,79.1,45.2,25.9,131,113.9,90.2,54.5,32.4,135.2,118.9,95.5,59.5,36.6,4.7,7.6
-39,0.2,0.1,0.1,0.1,0,0.3,0.4,0.4,0.4,0.2,0.8,1,1.3,1.1,0.7,1.4,1.9,2.2,1.9,1.5,2.5,3.3,3.9,3.4,2.3,4.3,4.2,5.9,6.8,7.2,9.9,9.4,9.8,15.7,27.2,35.8,22.3,122.3,104.1,79.4,45.3,25.9,130.9,113.7,90.2,54.5,32.5,135.2,119,95.4,59.5,36.6,5,10.2
-38,0.2,0.1,0.1,0.1,0,0.4,0.4,0.4,0.4,0.3,0.8,1.1,1.4,1.1,0.7,1.5,2,2.3,1.9,1.5,2.6,3.4,4.1,3.6,2.5,4.6,4.6,6.4,7.7,8.6,13.3,13.2,14.1,24,40.5,38,22.6,122.4,104.3,79.4,45.5,26,130.7,113.7,90.2,54.5,32.6,135.1,118.7,95.3,59.5,36.6,5.4,13.5
-37,0.3,0.1,0,0,0,0.4,0.4,0.5,0.4,0.3,0.8,1.2,1.4,1.1,0.7,1.7,2.2,2.4,2,1.5,2.8,3.8,4.4,3.9,2.9,5.2,5.1,7.2,8.5,11.7,16.5,16.4,23.2,40,53.7,38.9,22.7,122.5,104.4,79.4,45.5,26,130.6,113.8,90.4,54.6,32.6,135.1,118.6,95.2,59.5,36.7,5.8,16.7
-36,0.2,0,0,0,0,0.4,0.4,0.5,0.4,0.3,0.8,1.3,1.4,1.1,0.8,1.8,2.3,2.6,2.1,1.6,2.9,4.1,4.7,4.2,3.4,6.2,6,8.3,10.4,17.2,19.2,18.7,41.6,60.6,63,39.6,22.8,122.8,104.7,79.5,45.4,26.1,130.6,113.9,90.5,54.7,32.6,135.1,118.7,95.1,59.4,36.8,6.3,19.1
-35,0.2,0.1,0,0,0.1,0.4,0.4,0.5,0.4,0.3,0.8,1.4,1.4,1.2,0.8,1.9,2.5,2.7,2.2,1.6,3,4.4,5.1,4.7,4.1,7.2,7.1,10,13.6,24.1,20.4,20.1,67.6,78.1,67.8,40.1,22.9,123.1,105,79.7,45.6,26.1,130.5,113.9,90.4,54.8,32.6,135,118.7,95.1,59.5,36.9,7.9,20.3
-34,0.2,0.1,0.1,0,0.1,0.4,0.5,0.5,0.4,0.3,0.9,1.4,1.5,1.2,0.8,1.9,2.6,2.8,2.3,1.7,3.3,4.8,5.5,5.1,5.3,9.1,8.8,13.3,20.1,30.5,21.4,20.8,91.3,88.1,70.2,40.6,23.1,123.3,105.2,80,45.9,26.2,130.5,114,90.3,54.7,32.6,134.8,118.5,95.2,59.6,36.9,10,21.1
-33,0.2,0.2,0.1,0,0.1,0.5,0.6,0.6,0.4,0.3,1,1.5,1.7,1.3,0.8,2,2.8,3,2.5,1.9,3.7,5.5,6.2,6.3,7.4,13,12.4,20.1,31.9,34.5,22,21.4,105.6,93,71.9,40.9,23.2,123.3,105.2,80.4,45.9,26.2,130.5,114,90.3,54.7,32.6,134.6,118.4,95.3,59.6,36.8,13.9,21.6
-32,0.2,0.1,0.1,0.1,0.1,0.5,0.6,0.7,0.5,0.3,1,1.6,1.8,1.4,0.8,2.2,3,3.2,2.7,2.2,4.2,6.2,7,7.6,10.5,21.6,20.6,33.6,46.9,36.6,22.2,21.7,111.9,95.6,72.9,41.1,23.3,123.2,105.2,80.6,45.8,26.3,130.4,114,90.4,54.8,32.7,134.5,118.2,95.5,59.7,36.8,21.7,22
-31,0.2,0.1,0.1,0.1,0.1,0.5,0.7,0.8,0.6,0.3,1,1.7,1.8,1.5,0.8,2.3,3.2,3.4,2.9,2.3,5,7.2,8.2,10.5,13.9,37.3,37.7,53.1,58.9,37.6,22.3,21.9,114.7,97.1,73.3,41.2,23.4,123.1,105.1,80.6,45.8,26.5,130.3,114,90.4,54.7,32.7,134.5,118.2,95.6,59.7,36.8,35.8,22.4
-30,0.2,0,0.1,0.1,0.1,0.5,0.7,0.8,0.7,0.3,1.1,1.7,1.9,1.6,0.9,2.4,3.5,3.7,3.1,2.5,6,8.5,10.4,15.8,16.8,63.5,63.2,72.4,65.4,38.5,22.3,22,116.1,98,73.7,41.3,23.4,123.2,105.2,80.7,45.8,26.5,130.4,113.8,90.4,54.7,32.6,134.5,118.3,95.6,59.7,36.8,58.2,22.7
-29,0.2,0,0.1,0.2,0.1,0.6,0.8,0.9,0.6,0.4,1.3,1.9,2.1,1.6,1,2.7,3.7,4.1,3.5,3.2,7.5,11,15,22.6,18.8,88,88,85.1,68.8,38.8,22.3,22.1,117.2,98.8,74.1,41.5,23.4,123.3,105.4,80.7,46,26.5,130.4,113.7,90.4,54.7,32.7,134.5,118.4,95.5,59.7,36.8,83.1,22.9
-28,0.2,0.1,0.1,0.2,0.1,0.6,0.8,0.9,0.6,0.4,1.4,2,2.3,1.7,1.1,3,4.3,4.5,4,4,11,16.4,23.4,29.3,19.9,102.5,103.5,91.1,70.2,39.2,22.3,22.1,117.8,99.2,74.5,41.8,23.5,123.5,105.5,80.9,46.2,26.5,130.3,113.7,90.5,54.7,32.9,134.6,118.5,95.5,59.7,36.8,100.3,22.6
-27,0.2,0.2,0.1,0.2,0.1,0.6,0.9,1,0.7,0.4,1.5,2.2,2.5,1.8,1.2,3.4,4.8,5.3,5.2,5.5,18.6,27.6,36.8,33.6,20.5,110.4,110.6,94.1,71.5,39.5,22.2,22.1,118.2,99.6,74.9,41.8,23.6,123.6,105.5,81.2,46.3,26.5,130.3,113.8,90.4,54.7,32.9,134.4,118.6,95.5,59.7,36.8,109.6,22.6
-26,0.3,0.2,0.1,0.2,0.1,0.6,0.9,1.1,0.8,0.4,1.6,2.3,2.6,2,1.3,4.1,5.8,6.1,6.4,8.1,34.7,45.4,51,35.8,20.9,114.2,113.5,95.7,72,39.9,22.2,22.2,118.5,100,75.2,41.9,23.7,123.6,105.6,81.2,46.3,26.5,130.3,113.8,90.2,54.8,33,134.3,118.5,95.5,59.7,36.9,113.9,22.8
-25,0.3,0.2,0.1,0.2,0.1,0.6,1,1.1,0.8,0.5,1.7,2.5,2.7,2.2,1.4,5.3,6.8,7.7,9.6,11.6,59.9,67.1,60.3,36.7,21.1,115.7,114.9,96.6,72.5,40.1,22.7,22.4,118.7,100.4,75.4,42,23.9,123.5,105.7,81.2,46.3,26.5,130.3,113.7,90.3,54.8,32.9,134.4,118.4,95.6,59.8,36.9,116.2,23
-24,0.3,0.2,0.1,0.1,0.1,0.6,1.1,1.2,0.8,0.5,1.9,2.7,3,2.4,1.6,6.7,9.1,10.8,14.5,15,85.8,81.6,65.2,37.6,21.3,116.1,115.8,97.4,72.9,40.4,22.8,22.4,119,100.6,75.5,42.1,24,123.4,105.8,81.2,46.4,26.6,130.1,113.8,90.5,54.7,32.9,134.4,118.5,95.6,60,37,116.7,23
-23,0.3,0.2,0.2,0.1,0.1,0.7,1.2,1.2,0.9,0.5,2.2,3.1,3.5,2.8,2.1,9.7,13.5,17.3,21.8,17.4,101.6,88.9,67.7,38,21.4,116.6,116.5,97.9,73.2,40.4,22.9,22.4,119.2,100.8,75.8,42.2,24,123.3,105.9,81.1,46.4,26.7,130.1,113.8,90.5,54.8,32.9,134.3,118.6,95.5,59.8,36.9,117.4,22.9
-22,0.3,0.2,0.3,0,0.1,0.8,1.3,1.2,0.9,0.6,2.6,3.6,4,3.2,2.9,16.7,22.6,28.3,28.3,18.8,108.6,92.2,69.3,38.4,21.5,117.2,116.9,98.2,73.5,40.4,22.8,22.5,119.3,101,75.9,42.2,23.9,123.5,106,81.3,46.5,26.7,130.3,113.8,90.4,54.9,32.8,134.1,118.6,95.5,59.6,36.8,117.9,23
-21,0.3,0.2,0.3,0.1,0,0.9,1.3,1.3,1,0.7,3.1,4.4,4.6,4.3,3.9,31.5,38.9,42.7,32,19.4,111.9,94,70.1,38.5,21.6,117.6,117,98.4,73.7,40.5,22.6,22.7,119.5,101.2,76,42.4,24,123.9,106,81.5,46.6,26.6,130.4,113.8,90.4,55,32.8,134.1,118.6,95.4,59.8,36.8,118.3,23.2
-20,0.3,0.3,0.3,0.1,0,1,1.5,1.4,1.1,0.9,4.2,5.3,5.7,5.4,5.8,55.3,60,54.7,34.4,20.1,113.3,95.2,70.6,38.6,21.8,117.6,117.2,98.6,74,40.7,22.9,22.7,119.7,101.2,76.1,42.5,24.1,123.9,106.1,81.6,46.6,26.7,130.2,113.7,90.5,55,32.9,134.1,118.6,95.3,60,36.9,118.8,23.3
-19,0.4,0.3,0.3,0.1,0,1.1,1.7,1.6,1.3,1,5.5,7.1,7.9,8.3,8.8,80.8,76.8,61.4,35.3,20.3,114.4,95.7,71,38.8,21.9,118.3,117.5,98.8,74.2,40.7,23.1,22.8,119.8,101.1,76.2,42.6,24.1,123.6,106.1,81.6,46.7,26.7,130,113.5,90.6,54.9,32.9,134.1,118.5,95.1,59.9,36.9,119.2,23.2
-18,0.3,0.4,0.3,0.1,0,1.3,2,1.9,1.5,1.2,8.2,10.5,12.3,13.2,12.3,98.5,85.3,65,36.2,20.5,115.2,96.2,71.3,39,22,118.2,117.7,99,74.4,40.7,23.1,22.8,119.9,101.2,76.3,42.7,24.1,123.5,106.1,81.4,46.7,26.7,129.9,113.6,90.7,54.9,32.8,134.1,118.4,95.2,59.7,36.9,118.8,22.9
-17,0.3,0.5,0.3,0.2,0.1,1.7,2.4,2.3,1.8,1.3,14.5,18,20.5,20.3,15.3,107,89.8,66.5,36.7,20.6,115.6,96.6,71.6,39.2,22.1,118.1,117.9,99.2,74.5,40.9,23.2,22.8,119.8,101.3,76.4,42.7,24,123.5,106.2,81.3,46.7,26.6,129.8,113.7,90.7,54.9,32.8,134.2,118.2,95.4,59.6,36.9,118.3,23
