0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
-226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,5.9,,
-225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6,,
-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6,,
-223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.1,,
-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.3,,
-221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.5,,
-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,6.6,,
-219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.8,,
-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.9,,
-217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7,,
-216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,7.1,,
-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.1,,
-214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,7.6,7.2,,
-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,7.8,7.4,,
-212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8,7.5,,
-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.1,7.7,,
-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.2,7.7,,
-209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,8.4,7.9,,
-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,8.6,8,,
-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,7.4,8.8,8.1,,
-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,7.5,9,8.2,,
-205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,7.7,9.1,8.3,,
-204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,7.8,9.2,8.5,,
-203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,8,9.4,8.6,,
-202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,6.4,8.1,9.7,8.8,,
-201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.6,8.3,9.9,9.1,,
-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6.7,8.4,10.1,9.4,,
-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.9,8.6,10.3,10,,
-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,7.1,8.8,10.5,10.6,,
-197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,7.3,8.9,10.6,11.6,,
-196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,7.4,9.1,10.7,13.5,,
-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,7.5,9.3,10.9,16.2,,
-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.6,9.5,11.1,19.6,,
-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,7.7,9.7,11.3,23,,
-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,7.8,9.9,11.4,25.1,,
-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,8,10.2,11.6,26.1,,
-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8.2,10.4,11.8,26.9,,
-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8.4,10.6,12.2,27.3,,
-188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,8.6,10.9,12.6,27.7,,
-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.8,11.2,12.9,27.9,,
-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,11.5,13.2,28,,
-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,9.3,11.8,13.8,28.3,,
-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,9.5,12,14.5,28.7,,
-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.8,12.2,15.7,28.8,,
-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,10,12.6,17.7,29,,
-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,10.2,12.9,20.9,29.1,,
-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.3,13.2,26.7,29.1,,
-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,8.2,10.5,13.5,33.8,29.3,,
-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,8.4,10.9,13.8,40.2,29.5,,
-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,8.7,11.3,14.3,44.3,29.7,,
-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,8.9,11.6,14.6,46,30,,
-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,9.1,11.8,14.8,47.1,30,,
-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,9.3,12.1,15.3,48.1,30,,
-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,9.5,12.4,15.7,48.6,30.1,,
-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.8,12.8,16.4,49.1,30.3,,
-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,10.1,13.1,17.1,49.3,30.3,,
-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,10.4,13.4,18.1,49.6,30.2,,
-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.3,10.6,13.7,19,49.9,30.3,,
-168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.4,10.8,14.2,21.1,50.2,30.4,,
-167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.4,11.1,14.7,25.2,50.5,30.6,,
-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.4,11.4,15.1,32.6,50.8,30.8,,
-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.5,11.6,15.6,45.9,51,30.9,,
-164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.7,11.8,16.5,61.2,51.2,31.1,,
-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.7,12.2,17.5,72.8,51.4,31.1,,
-162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,4.8,12.5,18.8,78.6,51.6,31.1,,
-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.9,12.9,20.5,81.6,51.8,31.3,,
-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5,13.3,24.6,83,52,31.4,,
-159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.5,5,14.1,32.2,84.3,52.2,31.5,,
-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.6,5.1,14.9,48.7,85,52.5,31.6,,
-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.8,5.2,16.4,70.5,85.7,52.5,31.6,,
-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.9,5.4,17.9,90.2,86.3,52.5,31.6,,
-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6,5.4,21.9,102.2,86.9,52.7,31.8,,
-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,5.2,6,5.5,29.7,107.2,87.2,53,31.9,,
-153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.4,6.1,5.5,49.6,109.6,87.5,53.1,32,,
-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.5,6.2,5.5,78.1,111,87.9,53.2,32,,
-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.4,5.6,6.4,5.6,105.5,112.1,88.3,53.4,32.2,,
-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.5,5.8,6.6,5.8,122.4,112.9,88.6,53.7,32.3,,
-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.5,6,6.8,5.9,128.5,113.7,88.8,53.9,32.4,,
-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.6,6.1,6.9,6.1,131.5,114.4,89.2,54.1,32.5,,
-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.7,6.2,7,6.1,132.8,115,89.5,54.1,32.6,,
-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.9,6.2,7.2,6.2,133.9,115.3,89.7,54.1,32.7,,
-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,5,6.4,7.3,6.2,134.7,115.5,89.9,54.2,32.6,,
-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.2,6.7,7.5,6.3,135.4,115.7,90,54.3,32.5,,
-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.3,6.8,7.6,6.5,135.5,115.9,90.1,54.3,32.6,,
-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.4,6.9,7.8,6.7,135.6,116.2,90.3,54.3,32.8,,
-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.5,7.1,7.9,6.9,135.9,116.5,90.6,54.5,32.8,,
-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.7,7.3,8,7,136.3,116.7,90.8,54.8,32.8,,
-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.8,7.4,8.2,7.2,136.5,116.8,91,54.9,32.9,,
-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6,7.6,8.5,7.4,136.6,116.9,91.2,54.9,33,,
-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,6.1,7.8,8.7,7.6,136.5,116.9,91.3,55,33.1,,
-136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.3,8,8.8,7.7,136.5,117.1,91.4,55.2,33.2,,
-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.5,8.2,8.9,8.1,136.6,117.2,91.6,55.3,33.3,,
-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6.6,8.4,9.1,8.5,136.8,117.5,91.7,55.5,33.4,,
-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.8,8.6,9.4,9.4,136.7,117.7,91.8,55.5,33.4,,
-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.9,8.8,9.7,10.5,136.7,117.8,92,55.6,33.3,,
-131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,7.1,9,9.9,12.1,136.9,117.8,92.3,55.6,33.3,,
-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,7.3,9.2,10.1,15.1,137.2,117.8,92.4,55.6,33.5,,
-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,7.5,9.5,10.4,18.7,137.3,117.9,92.4,55.8,33.7,,
-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,7.8,9.7,10.7,21.8,137.4,118.2,92.5,56.2,33.9,,
-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,8.1,10,11.1,24.1,137.3,118.4,92.5,56.2,33.9,,
-126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8.3,10.2,11.4,25.4,137.1,118.4,92.8,56.3,33.9,,
-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,8.5,10.5,11.9,26,137,118.5,93.1,56.3,33.9,,
-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.7,10.8,12.6,26.4,136.9,118.5,93.1,56.3,34,,
-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.9,11.1,13.9,26.8,136.9,118.6,93,56.4,34.1,,
-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,9.2,11.5,16.1,27.2,136.9,118.7,93.1,56.4,34.2,,
-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,9.6,11.9,19.9,27.3,137,118.8,93.2,56.6,34.2,,
-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,9.8,12.2,25.8,27.4,137.1,118.9,93.4,56.7,34.2,,
-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,10,12.6,33.1,27.5,137.1,118.9,93.5,56.8,34.3,,
-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.4,13.1,39.1,27.7,137.1,119.1,93.5,57,34.4,,
-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,10.8,13.7,42.5,27.9,137.1,119.2,93.5,57,34.4,,
-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,11.1,14.3,44.4,28.2,137.1,119.2,93.5,57,34.5,,
-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,11.4,15.4,45.4,28.4,137.3,119.1,93.5,57.1,34.5,,
-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,9.1,11.9,16.6,46.2,28.5,137.5,119,93.7,57.2,34.4,,
-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.4,12.4,18.4,46.7,28.5,137.4,118.9,93.9,57.2,34.4,,
-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.7,13.1,22.2,47.1,28.6,137.4,118.8,93.9,57.1,34.5,,
-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,10.1,13.9,29.3,47.3,28.7,137.5,118.8,93.9,57.3,34.7,,
-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10.4,15.2,42.3,47.5,28.9,137.7,119.1,94,57.6,34.8,,
-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.1,10.9,16.5,57.7,47.8,29,137.5,119.3,94.1,57.6,34.9,,
-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.1,11.6,19,69.7,48.1,29.2,137.3,119.3,94.2,57.6,35,,
-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.1,12.5,24.4,75.6,48.4,29.2,137.3,119.3,94.3,57.7,34.9,,
-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.1,13.9,34.5,78.4,48.6,29.2,137.3,119.4,94.4,57.8,34.8,,
-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.2,15.7,54.3,79.8,48.9,29.3,137.4,119.4,94.5,57.8,35,,
-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.7,2.3,20.9,76.7,81.1,49.1,29.3,137.4,119.4,94.6,57.7,35.2,,
-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.8,2.4,29.9,92.9,82,49.4,29.5,137.3,119.4,94.7,57.7,35.2,,
-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.6,2.8,2.4,51.2,100.6,82.9,49.6,29.7,137.3,119.4,94.6,57.7,35.3,,
-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.6,2.9,2.4,79.4,103.9,83.4,49.6,29.7,137.3,119.4,94.6,57.8,35.2,,
-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.9,2.7,3.1,2.5,103.4,106.1,83.8,49.7,29.6,137.3,119.4,94.7,57.9,35.1,,
-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2,2.8,3.2,2.6,117.6,107.3,84.1,49.8,29.8,137.2,119.4,94.8,57.9,35.1,,
-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2,2.8,3.3,2.6,123,108.1,84.5,50,29.9,137.1,119.5,94.9,57.9,35.2,,
-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2,2.9,3.3,2.7,125.6,108.8,84.9,50.2,29.9,136.9,119.6,95,57.8,35.3,,
-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.1,3,3.2,2.7,127,109.3,85.2,50.3,30,136.8,119.7,95,57.8,35.4,,
-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.9,2.3,3.1,3.3,2.8,128.2,109.8,85.5,50.5,30.1,137.2,119.8,94.9,57.9,35.4,,
-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2,2.4,3.2,3.4,2.8,128.8,110.1,85.8,50.7,30.2,137.5,119.7,95,58.1,35.4,,
-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.9,2.3,3.3,3.5,2.9,129.4,110.3,86,50.9,30.3,137.3,119.7,95,58.2,35.4,,
-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9,2.3,3.4,3.6,3,129.9,110.9,86.3,51.1,30.4,137.1,119.6,95,58.3,35.5,,
