Coordinate_mm,High,Low
-4,53.2,
-3,54.2,
-2,55.7,
-1,57.8,
0,61.1,
1,66.2,
2,76.1,
3,88.9,
4,98.2,
5,105,
6,110,
7,113.7,
8,116.5,
9,118.5,
10,119.9,
11,120.9,
12,121.6,
13,121.9,
14,122.1,
15,122.1,
16,121.9,
17,121.6,
18,121.2,
19,120.9,
20,120.5,
21,120,
22,119.4,
23,118.9,
24,118.5,
25,117.9,
26,117.5,
27,116.9,
28,116.4,
29,115.9,
30,115.4,
31,114.9,
32,114.3,
33,113.8,
34,113.3,
35,112.8,
36,112.3,
37,111.8,
38,111.2,
39,110.7,
40,110.2,
41,109.7,
42,109.1,
43,108.7,
44,108.1,
45,107.6,
46,107.1,
47,106.6,
48,106,
49,105.5,
50,105.1,105
51,104.5,104.5
52,104,104.1
53,103.5,103.5
54,103,103
55,102.5,102.5
56,101.9,102
57,101.5,101.5
58,100.9,101
59,100.5,100.5
60,99.8,99.9
61,,99.4
62,,98.8
63,,98.4
64,,97.9
65,,97.4
66,,97
67,,96.5
68,,96
69,,95.5
70,,95
71,,94.5
72,,93.9
73,,93.5
74,,93
75,,92.5
76,,92
77,,91.5
78,,91
79,,90.5
80,,90.1
81,,89.6
82,,89.2
83,,88.7
84,,88.3
85,,87.9
86,,87.4
87,,86.9
88,,86.4
89,,86
90,,85.5
91,,85
92,,84.6
93,,84.2
94,,83.8
95,,83.3
96,,82.8
97,,82.3
98,,81.9
99,,81.5
100,,81.1
101,,80.7
102,,80.3
103,,79.8
104,,79.3
105,,78.9
106,,78.4
107,,78
108,,77.5
109,,77.1
110,,76.7
111,,76.3
112,,75.9
113,,75.5
114,,75.2
115,,74.7
116,,74.2
117,,73.8
118,,73.4
119,,73
120,,72.6
121,,72.2
122,,71.8
123,,71.4
124,,71
125,,70.6
126,,70.2
127,,69.9
128,,69.5
129,,69.1
130,,68.7
131,,68.4
132,,68
133,,67.6
134,,67.2
135,,66.8
136,,66.5
137,,66.1
138,,65.7
139,,65.3
140,,65
141,,64.6
142,,64.2
143,,63.9
144,,63.5
145,,63.2
146,,62.9
147,,62.5
148,,62.1
149,,61.8
150,,61.5
151,,61.2
152,,60.8
153,,60.5
154,,60.1
155,,59.8
156,,59.5
157,,59.2
158,,58.8
159,,58.5
160,,58.1
161,,57.8
162,,57.5
163,,57.2
164,,56.9
165,,56.6
166,,56.2
167,,55.9
168,,55.6
169,,55.3
170,,55
171,,54.7
172,,54.4
173,,54.1
174,,53.9
175,,53.5
176,,53.2
177,,52.9
178,,52.6
179,,52.3
180,,52
181,,51.7
182,,51.4
183,,51.1
184,,50.9
185,,50.6
186,,50.3
187,,50
188,,49.7
189,,49.5
190,,49.2
191,,48.9
192,,48.6
193,,48.3
194,,48.1
195,,47.9
196,,47.6
197,,47.3
198,,47
199,,46.7
200,,46.5
201,,46.3
202,,46
203,,45.8
204,,45.5
205,,45.2
206,,45
207,,44.7
208,,44.5
209,,44.2
210,,44
211,,43.7
212,,43.5
213,,43.2
214,,43
215,,42.8
216,,42.6
217,,42.3
218,,42.1
219,,41.8
220,,41.6
221,,41.4
222,,41.1
223,,40.9
224,,40.7
225,,40.5
226,,40.3
227,,40
228,,39.8
229,,39.6
230,,39.3
231,,39.1
232,,38.9
233,,38.7
234,,38.5
235,,38.3
236,,38.1
237,,37.9
238,,37.7
239,,37.5
240,,37.2
241,,37
242,,36.8
243,,36.6
244,,36.4
245,,36.2
246,,36
247,,35.8
248,,35.6
249,,35.4
250,,35.2
251,,35
252,,34.8
253,,34.6
254,,34.4
255,,34.3
256,,34.1
257,,33.9
258,,33.7
259,,33.5
260,,33.4
261,,33.2
262,,33
263,,32.8
264,,32.6
265,,32.4
266,,32.3
267,,32.1
268,,31.9
269,,31.7
270,,31.6
271,,31.4
272,,31.2
273,,31
274,,30.8
275,,30.7
276,,30.5
277,,30.4
278,,30.2
279,,30
280,,29.9
281,,29.7
282,,29.5
283,,29.4
284,,29.2
285,,29.1
286,,28.9
287,,28.7
288,,28.6
289,,28.4
290,,28.3
291,,28.1
292,,27.9
293,,27.8
294,,27.6
295,,27.5
296,,27.3
297,,27.2
298,,27.1
299,,26.9
300,,26.8
301,,26.6
302,,26.4
303,,26.3
304,,26.2
305,,26.1
306,,25.9
307,,25.8
308,,25.6
309,,25.5
310,,25.3
311,,25.2
312,,25.1
313,,24.9
314,,24.8
315,,24.7
316,,24.5
317,,24.4
318,,24.3
319,,24.1
320,,24
321,,23.9
322,,23.7
323,,23.6
324,,23.5
325,,23.4
326,,23.2
327,,23.1
328,,23
329,,22.9
330,,22.7
331,,22.6
332,,22.5
333,,22.4
334,,22.3
335,,22.2
336,,22.1
337,,21.9
338,,21.8
339,,21.7
340,,21.6
341,,21.5
342,,21.3
343,,21.2
344,,21.1
345,,21
346,,20.8
347,,20.8
348,,20.7
349,,20.6
350,,20.5
