metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
structure,Airway avoidance,BODY,Body,Both Lungs,Both Lungs-ITV,Bronchial tree,Foramen,Foramen+3mm,GTV,Great vessels,Heart,ITV,Inner Ring,L Brachial plex,Liver,Lt_Lung,Oesophagus,PTV CHEST,PTV ring 2-3cm,R Brachial plex,Ribs,Ribs-PTV,Rt_Lung,Skin,Skin-PTV+2cm,Trachea
D0.1CC,-1.0043439243130605,0.49116501067561963,1.7068098538522918,0.5644258322642856,1.025317630191646,2.1210013488138473,-0.26756643417870596,-0.4510623037319339,-1.1770841258812084,0.14471135031809013,-3.7909325849117512,0.6994789385893847,-0.28487277721644944,7.044839024423908,-0.18262818992905494,0.7009080198769991,-0.16200728261024513,0.6192994179001791,-0.04747294634064545,0.24663849984163047,0.1538787116204489,0.4356764364085143,0.125764937344651,-0.04228420912888087,-0.36742478986378596,2.7831395022618453
D1CC,0.062081649449678436,0.5559581335965242,0.6527223132599005,0.12840277790284063,0.6514530208256223,0.023259611945075986,-0.2459732960507005,-0.3949994028886079,-0.4380244147195924,-0.23016536557630118,3.5978135554323027,0.16107159270272794,-0.3001306009852656,4.853979606839217,0.06599262779845105,0.6880711169499477,-0.13434988996019034,0.5292571670627647,-0.09637336926250531,4.217029336436956,-0.13683185419134744,0.03623453884704976,0.0018699255074752822,-0.08157143025698423,-0.17512484794975247,2.5616306827579938
D2%,-0.005027403279545016,-0.043709301917229784,-0.20323514895800443,0.24339473780529736,0.28352638748526077,0.026801681839881596,-0.2444716099380074,-0.37426654187812325,-0.5501234846059049,-0.11972119107389645,-0.1336864486483425,0.6464134962673488,-0.25921374584853396,6.267566762353108,-0.0990633517299031,0.15534445397085,-0.1413458150143712,0.5785523893675854,-0.13680865578005547,7.742963375337455,-0.2896835356966143,-0.12227103520024475,0.1645215795516668,0.4752225203102181,0.07408251344462465,4.729590246101295
D5%,-0.06293708629420945,-0.019658315800571202,-0.15486507939869654,0.18308605032827535,0.14705592310286372,0.030938565413625586,-0.23758087497990743,-0.32410046697343164,-0.41797836195661375,-0.26070860651300265,-0.11451040671319364,0.6186940884026271,-0.21818038397104722,7.144074388747753,-0.12511994081155287,0.24059557044226645,-0.127595599866488,0.5349976144030364,-0.14904543860781297,8.03198457113053,-0.23595280276809316,-0.12051056352446252,0.13951817923937598,0.3616422598708114,0.08877575804010703,0.2062003190402684
D50%,-0.01840493675772451,-0.00359854417253447,0.0016790082458679467,-0.008474163631988352,-0.018234990317843165,0.007681759318419651,-0.07123022976128267,-0.07166838726571492,-0.9002594546914082,-0.049074371750969625,-0.006241565617872456,0.5681956091881811,0.28349979292926736,4.80159872871031,-0.04528876898198486,-0.03609520585233406,-0.025135378005808458,0.23504160358588091,0.20187710075827556,1.2585013256511308,-0.05849553620008066,-0.04097622071712188,-0.029733216315294988,-0.02500182081864558,-0.001662104841477827,-0.00030357739291765514
D95%,0.002422172168168501,0.010301095489146003,0.0029629462765118995,-0.007332352669580838,-0.007380713836643025,-0.06473897172800595,0.004319449850210526,0.007275957763440787,-0.7414293032785935,-0.1164479104011702,0.01998087885186213,0.36367458818790815,0.1216520428491384,0.28114718274061273,-0.005103939458889484,-0.00304118910842816,0.026562462289930203,-0.5266557415285064,0.022216328872523946,0.012430644294492532,-0.022881345813108744,-0.010273109132007931,-0.015012783857349509,0.0033854408843959458,0.0033836957382603777,-0.006636188718178246
D99%,0.00089084105354218,0.003961680371078401,0.0005925892553023801,-0.0009869231208620196,0.0013892878771931331,-0.04545457342524436,0.002776285326224635,0.013178859369052236,-0.9417352235193022,-0.12111961182559972,0.02887970106658669,0.1652852887146215,0.11130754595350363,0.05472304230323864,-0.012719570237725963,0.004132785892454831,0.02157389069245604,-0.7804729569210086,0.046724520012887356,0.01181368822836407,-0.021793239792246354,-0.007959273321565754,-0.00954373345699429,0.0006770881768791919,0.0006767391476520697,0.003386090031359116
DHI,-0.03113961009954139,-3.1992715563560945,-1.8654713888330008,3.820003427473501,4.660518544781166,0.042571740320114466,0.03924408123385443,-0.03720424166729616,0.006209118433284991,0.034567858768039805,-0.6991501536642486,0.005276631824625546,-0.05345599697539668,-21.772098716164585,-0.47532251572238304,9.412109405358642,-2.373467860899328,0.01914885592341702,-0.13255532412866863,-72.3160124595633,0.408544984040624,2.298908233183508,1.8454583510758373,12.450687743378571,-2.586625392119469,40.94403920514883
DMAX,0.44785714285714256,0.9074999999999999,2.75,1.0120000000000005,1.1843333333333335,0.04033333333333349,-0.2823333333333329,-0.3727777777777772,-0.2750000000000057,0.7150000000000034,-0.04033333333333382,1.1235714285714289,-0.12833333333333385,0.16892857142857115,0.384999999999998,1.0156666666666667,-0.13933333333333295,1.0303333333333333,-0.08799999999999955,0.007333333333333343,0.4730000000000011,0.5499999999999985,0.2750000000000015,0.07464285714285701,-0.3941666666666664,-0.0036666666666667737
DRX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSD,-0.003928571428571471,-0.011785714285714352,-0.054999999999999716,0.03300000000000001,0.04033333333333354,0.025666666666666758,-0.07333333333333338,-0.10388888888888884,0.0,-0.054999999999999716,-0.05133333333333331,0.054999999999999986,-0.23833333333333329,0.05499999999999997,-0.054999999999999716,0.047666666666666684,-0.05133333333333335,0.3226666666666666,-0.05866666666666678,0.006111111111111129,-0.0696666666666669,-0.029615384615384464,0.03300000000000008,0.0864285714285714,-1.4802973661668753e-16,-0.02566666666666664
V12.5GY,-0.13712602727271878,-0.019582454545454344,-0.08115090909090039,0.07544545454545429,0.044992424242421454,0.18591577623376662,-0.612478836753256,-0.8238596245454579,0.0,-1.030227272727302,-0.14845452556477318,0.0,1.5041242424242505,-0.4830909090909046,-0.3748500000000088,0.13976535454544195,-0.4714052376623455,0.0,0.16658000000000683,0.12847363636364006,-0.25039418181818135,-0.17250643356641954,0.0007874207999943872,0.07114882951048943,-0.002105621212121831,-0.497036363636397
V20GY,0.00016015568181763917,-0.01164472077921933,-0.038437272727279925,0.034972818181819965,0.03384067272727297,7.284090908438743e-06,-0.7877713636363597,-0.7680956363636342,0.0,-0.1312345454545496,-0.027056208220454743,0.0,0.3346378787878835,-1.9171909090908983,-0.09597454545454509,0.09367464646463687,-0.5014327575757545,0.0,-0.22511006060604863,,-0.14005309696969626,-0.06691488111888395,0.040699848484860524,-0.017667647090909656,-0.009056400836363505,-2.2561345454545494
V30GY,0.01422681818181814,-0.0013121915584415364,-0.012450272727272949,0.015873672727273736,0.023245509090909115,,,,0.0,-0.011182454545454995,-0.0020861363636363608,0.0,-0.5344774242424117,1.9765318181818197,-0.01093818181818007,0.06444919191919204,,0.0,-0.022688232045452922,,-0.1105942807575765,-0.05528193484848578,0.0346773787878776,-0.0004309090909089819,-0.00016876340000000054,
V40GY,0.005592350909090896,-0.000965648701299225,-0.0036647272727270974,0.0014527818181808815,0.01062913939393891,,,,0.0,0.0010160799090909063,,0.0,-0.00201290045454544,,0.001454999999999207,0.02457393939393995,,-0.0005369696969732255,,,-0.05240314545454489,-0.007631794214874962,0.02255533333333239,0.002654690909090901,,
V50GY,0.005921423333333022,-0.0016699168831169223,-0.0006311818181820028,-0.012183472727272443,0.0006448606060612261,,,,0.0,,,0.0,,,0.001126036363636812,0.00032904040404117357,,-0.10031212121213003,,,-0.02376882674049555,-0.004468962033058097,0.004671621212121603,,,
V55GY,0.006585319999999996,-0.0019812428571428643,0.0018640000000000045,-0.013184599999999954,-0.00020720666666666405,,,,0.0,,,0.0,,,-0.0014406000000000436,-0.0011038888888888427,,-2.8333266666666694,,,-0.02787769999999997,0.00014319000000000362,0.0026536666666666514,,,
V5GY,-0.21794462121213395,0.01276987012987488,0.08295454545460146,0.3155849090909095,0.19247169696969565,0.1522186363636464,-0.5714312337662409,-0.6425454545454591,0.0,-0.4885181818182005,-0.5335691272727345,0.0,1.7241030303030342,0.26363499999999995,-0.15590454545455312,0.2915165987878852,-0.3426769230768865,0.0,0.9961193939394064,2.0734727272727866,-0.3471393939394069,-0.2992608391608751,0.11530807207791283,0.44314220129869986,0.10059151515151325,0.13500000000000392
