25.00,24.14,24.89,25.61,26.36,27.07,27.72,28.37,29.01,29.50,29.98,30.42,30.86,31.31,31.65,31.99,32.33,32.67,33.01,33.52,34.03,34.50,34.92,35.33,36.07,36.81
26.00,22.77,23.49,24.16,24.88,25.57,26.18,26.81,27.44,27.91,28.38,28.82,29.26,29.71,30.04,30.38,30.72,31.05,31.39,31.89,32.39,32.84,33.25,33.65,34.40,35.14
27.00,21.42,22.19,22.81,23.48,24.15,24.76,25.37,25.98,26.44,26.89,27.32,27.74,28.17,28.50,28.83,29.16,29.50,29.83,30.31,30.80,31.24,31.66,32.07,32.80,33.53
28.00,20.25,20.90,21.57,22.19,22.82,23.41,24.01,24.60,25.04,25.48,25.90,26.32,26.75,27.07,27.39,27.71,28.04,28.36,28.85,29.34,29.79,30.19,30.59,31.30,32.02
29.00,19.12,19.73,20.35,20.95,21.57,22.11,22.69,23.27,23.71,24.15,24.56,24.96,25.37,25.68,26.00,26.32,26.64,26.96,27.43,27.90,28.33,28.72,29.12,29.84,30.57
30.00,18.07,18.64,19.24,19.79,20.37,20.92,21.48,22.04,22.46,22.88,23.27,23.67,24.06,24.38,24.69,25.00,25.31,25.62,26.09,26.56,26.99,27.37,27.75,28.47,29.19
31.00,17.06,17.62,18.18,18.73,19.28,19.81,20.35,20.88,21.30,21.71,22.09,22.47,22.85,23.16,23.46,23.76,24.06,24.36,24.82,25.28,25.71,26.09,26.47,27.16,27.85
32.00,16.09,16.62,17.15,17.68,18.21,18.73,19.24,19.75,20.16,20.56,20.92,21.29,21.65,21.95,22.24,22.54,22.83,23.13,23.59,24.05,24.46,24.83,25.19,25.87,26.55
33.00,15.22,15.75,16.26,16.76,17.28,17.74,18.25,18.75,19.13,19.51,19.87,20.24,20.60,20.89,21.17,21.46,21.74,22.03,22.47,22.90,23.31,23.67,24.04,24.72,25.40
34.00,14.34,14.87,15.35,15.83,16.31,16.79,17.27,17.74,18.12,18.49,18.84,19.19,19.53,19.81,20.08,20.36,20.63,20.91,21.34,21.78,22.17,22.53,22.88,23.54,24.20
35.00,13.58,14.07,14.55,14.98,15.48,15.93,16.39,16.85,17.18,17.51,17.86,18.21,18.55,18.82,19.09,19.35,19.62,19.89,20.31,20.74,21.12,21.47,21.81,22.47,23.13
