Field_mm,10,20,30,40,50,60,70,80,90,100,120,150,200,250,300,350,400
NPSF,0.967,0.971,0.975,0.979,0.983,0.987,0.99,0.994,0.997,1,1.006,1.013,1.023,1.029,1.033,1.037,1.04
