26.00,0.38,0.39,0.40,0.41,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.52,0.53,0.54,0.55
27.00,0.36,0.38,0.38,0.39,0.40,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.45,0.46,0.46,0.47,0.47,0.48,0.49,0.50,0.50,0.51,0.52,0.53
28.00,0.35,0.36,0.37,0.37,0.38,0.39,0.39,0.40,0.41,0.41,0.42,0.43,0.43,0.44,0.44,0.45,0.45,0.46,0.46,0.47,0.48,0.49,0.49,0.50,0.51
29.00,0.33,0.35,0.35,0.36,0.36,0.37,0.38,0.38,0.39,0.40,0.40,0.41,0.41,0.42,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.49,0.50
30.00,0.32,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.37,0.38,0.39,0.39,0.40,0.40,0.41,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.47,0.48
31.00,0.30,0.32,0.32,0.33,0.33,0.34,0.35,0.35,0.36,0.37,0.37,0.38,0.38,0.39,0.39,0.40,0.40,0.41,0.41,0.42,0.43,0.43,0.44,0.45,0.47
32.00,0.29,0.30,0.31,0.31,0.32,0.33,0.33,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.39,0.40,0.41,0.41,0.42,0.42,0.44,0.45
33.00,0.28,0.29,0.30,0.30,0.31,0.31,0.32,0.32,0.33,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.40,0.40,0.41,0.42,0.43
34.00,0.27,0.28,0.28,0.29,0.29,0.30,0.31,0.31,0.32,0.32,0.33,0.33,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.38,0.38,0.39,0.39,0.41,0.42
35.00,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.30,0.30,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.37,0.38,0.39,0.40
