3.3,90.96,91.69,92.08,92.45,92.76,92.98,93.08,93.18,93.27,93.42,93.6,93.68,93.69,93.71,93.73,93.8,93.94,94.04,94.13,94.22
3.4,90.37,91.14,91.55,91.96,92.28,92.54,92.65,92.76,92.86,93.02,93.2,93.3,93.31,93.33,93.36,93.43,93.59,93.7,93.8,93.9
3.5,89.79,90.59,91.05,91.43,91.8,92.1,92.21,92.32,92.43,92.65,92.82,92.9,92.92,92.96,92.99,93.04,93.22,93.34,93.46,93.58
3.6,89.22,90.06,90.58,90.92,91.32,91.63,91.75,91.87,92,92.27,92.44,92.52,92.54,92.58,92.62,92.66,92.87,92.99,93.11,93.23
3.7,88.66,89.56,90.11,90.46,90.85,91.16,91.27,91.43,91.58,91.88,92.05,92.14,92.16,92.19,92.22,92.3,92.53,92.65,92.77,92.89
3.8,88.1,89.05,89.63,90.01,90.39,90.69,90.81,90.98,91.15,91.46,91.64,91.74,91.75,91.79,91.82,91.95,92.17,92.3,92.43,92.56
3.9,87.55,88.54,89.12,89.54,89.94,90.24,90.35,90.54,90.73,91.04,91.25,91.35,91.37,91.4,91.44,91.6,91.82,91.96,92.1,92.24
4,86.99,88,88.55,89.07,89.49,89.8,89.92,90.11,90.3,90.61,90.85,90.97,90.99,91.04,91.08,91.24,91.45,91.6,91.75,91.9
4.1,86.43,87.43,88.01,88.59,89.02,89.36,89.49,89.69,89.88,90.2,90.44,90.56,90.59,90.64,90.7,90.9,91.08,91.24,91.39,91.54
4.2,85.87,86.87,87.49,88.08,88.53,88.91,89.07,89.27,89.48,89.78,90.02,90.13,90.17,90.24,90.31,90.55,90.72,90.88,91.05,91.22
4.3,85.31,86.35,86.98,87.59,88.04,88.46,88.63,88.84,89.05,89.38,89.62,89.74,89.78,89.86,89.95,90.18,90.37,90.55,90.72,90.89
4.4,84.77,85.83,86.48,87.11,87.59,88,88.17,88.38,88.59,88.99,89.25,89.37,89.42,89.51,89.6,89.79,90.04,90.22,90.4,90.58
4.5,84.24,85.32,85.96,86.62,87.15,87.53,87.71,87.93,88.15,88.6,88.85,88.98,89.03,89.13,89.23,89.43,89.72,89.9,90.07,90.24
4.6,83.7,84.77,85.42,86.16,86.68,87.05,87.28,87.51,87.74,88.18,88.43,88.55,88.61,88.73,88.84,89.06,89.37,89.54,89.71,89.88
4.7,83.16,84.23,84.95,85.69,86.18,86.58,86.87,87.1,87.34,87.76,88.04,88.18,88.24,88.35,88.47,88.68,88.99,89.17,89.35,89.53
4.8,82.61,83.72,84.52,85.18,85.7,86.13,86.43,86.68,86.93,87.34,87.67,87.84,87.89,88,88.11,88.3,88.64,88.82,89.01,89.2
