0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Scan Type:,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Inline,Inline,Inline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV,10 MV,10 MV,10 MV,10 MV,10 MV
Fieldsize:,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,24.0 mm,24.0 mm,100.0 mm,100.0 mm,300.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,24.0 mm,100.0 mm,100.0 mm,300.0 mm,300.0 mm
,Color [MediumVioletRed],Color [ForestGreen],Color [Orange],Color [CornflowerBlue],Color [DeepPink],Color [DarkOliveGreen],Color [DarkRed],Color [DarkTurquoise],Color [DarkGreen],Color [DarkOrchid],Color [DarkBlue],Color [SlateBlue],Color [MediumVioletRed],Color [DarkCyan],Color [DarkMagenta],Color [DarkGoldenrod],Color [Teal],Color [Orange],Color [DeepPink],Color [Blue],Color [ForestGreen],Color [DarkOrange],Color [DarkOliveGreen],Color [CornflowerBlue],Color [Brown],Color [Gold],Color [DarkRed],Color [DarkTurquoise],Color [DarkGreen],Color [DarkOrchid],Color [DarkBlue],Color [SlateBlue],Color [Gold],Color [Teal],Color [Brown],Color [Blue],Color [DarkOrange]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-204,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,12.3,15.9,17.3,,,,,,
-203,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.5,12.5,16.2,18,,,,,,
-202,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,9.7,12.7,16.5,18.9,,,,,,
-201,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,9.8,13,16.8,19.9,,,,,,
-200,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.9,13.2,17.1,21.2,,,,,,
-199,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,10.1,13.4,17.5,23.2,,,,,,
-198,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,10.2,13.7,17.8,25.8,,,,,,
-197,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,10.4,13.9,18.2,29.4,,,,,,
-196,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,10.6,14.2,18.6,33.7,,,,,,
-195,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,10.8,14.5,19,38.4,,,,,,
-194,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,11,14.8,19.4,43.3,,,,,,
-193,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.2,15.1,20,47.8,,,,,,
-192,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,11.3,15.4,20.5,51.9,,,,,,
-191,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,11.5,15.7,21.2,55.3,,,,,,
-190,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,11.7,16,21.8,57.7,,,,,,
-189,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.9,16.4,22.7,59.4,,,,,,
-188,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,12.2,16.7,23.7,60.7,,,,,,
-187,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12.4,17.1,25,61.9,,,,,,
-186,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,12.7,17.5,26.6,62.8,,,,,,
-185,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,12.9,17.9,28.8,63.7,,,,,,
-184,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,13.2,18.4,31.8,64.3,,,,,,
-183,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,13.5,18.9,36.3,64.9,,,,,,
-182,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,13.8,19.3,42.6,65.5,,,,,,
-181,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,14.1,19.8,50.3,66.1,,,,,,
-180,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,12.6,14.5,20.4,58.6,66.6,,,,,,
-179,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,12.8,14.8,21.1,67.2,67.2,,,,,,
-178,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,13.1,15.2,21.8,75.4,67.7,,,,,,
-177,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,13.4,15.6,22.6,82.7,68.2,,,,,,
-176,,,,,,,,,,,,,,,,,,,,,,,,,,9,13.7,16,23.5,88.5,68.6,,,,,,
-175,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,14,16.5,24.6,92.6,69,,,,,,
-174,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,14.3,16.9,26,95.5,69.4,,,,,,
-173,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,14.6,17.5,27.4,97.7,69.9,,,,,,
-172,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,15,18.1,29.4,99.4,70.3,,,,,,
-171,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,15.4,18.7,32.1,100.8,70.8,,,,,,
-170,,,,,,,,,,,,,,,,,,,,,,,,,10,9.8,15.9,19.5,35.7,102.2,71.2,,,,,,
-169,,,,,,,,,,,,,,,,,,,,,,,,,10.2,10,16.4,20.4,40.9,103.3,71.6,,,,,,
-168,,,,,,,,,,,,,,,,,,,,,,,,,10.3,10.2,16.9,21.6,49,104.4,72.1,,,,,,
-167,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.3,17.5,22.9,60.6,105.4,72.5,,,,,,
-166,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.5,18.2,24.5,74.7,106.3,72.9,,,,,,
-165,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.6,19.1,26.6,90.2,107.2,73.3,,,,,,
-164,,,,,,,,,,,,,,,,,,,,,,,,,11,10.8,20.2,29.4,105.9,108.1,73.7,,,,,,
-163,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11,21.4,33.1,121.1,108.8,74.1,,,,,,
-162,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.2,23.1,38.9,134.3,109.6,74.5,,,,,,
-161,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.4,25.2,47.4,144.7,110.3,75,,,,,,
-160,,,,,,,,,,,,,,,,,,,,,,,,9.5,11.8,11.6,28.2,61.1,151.3,111.1,75.4,,,,,,
-159,,,,,,,,,,,,,,,,,,,,,,,,9.7,12.1,11.8,32.5,78.9,156,111.7,75.8,,,,,,
-158,,,,,,,,,,,,,,,,,,,,,,,,9.9,12.3,11.9,39.2,99.9,159.5,112.4,76.2,,,,,,
-157,,,,,,,,,,,,,,,,,,,,,,,,10.1,12.5,12.2,49.8,121.8,162.2,113.1,76.6,,,,,,
-156,,,,,,,,,,,,,,,,,,,,,,,,10.2,12.7,12.4,66.9,143,164.6,113.9,77,,,,,,
-155,,,,,,,,,,,,,,,,,,,,,,,7.9,10.4,13,12.6,88.7,162.8,166.7,114.6,77.4,,,,,,
-154,,,,,,,,,,,,,,,,,,,,,,,8,10.6,13.2,12.8,113.4,178.4,168.5,115.3,77.8,,,,,,
-153,,,,,,,,,,,,,,,,,,,,,,,8.1,10.8,13.5,13,139.2,189.8,170.1,116,78.1,,,,,,
-152,,,,,,,,,,,,,,,,,,,,,,7.5,8.2,11,13.7,13.3,163.9,196.7,171.5,116.6,78.5,,,,,,
-151,,,,,,,,,,,,,,,,,,,,,,7.6,8.4,11.2,14,13.5,186.3,201.5,172.9,117.2,78.9,,,,,,
-150,,,,,,,,,,,,,,,,,,,,,,7.7,8.5,11.4,14.2,13.8,203.5,205.2,174.2,117.9,79.3,,,,,,
-149,,,,,,,,,,,,,,,,,,,,,,7.8,8.7,11.7,14.5,14.1,215.5,208.5,175.6,118.5,79.7,,,,,,
-148,,,,,,,,,,,,,,,,,,,,,,7.9,8.8,11.9,14.8,14.4,222.7,211,176.8,119.2,80.2,,,,,,
-147,,,,,,,,,,,,,,,,,,,,,,8.1,9,12.1,15.1,14.7,227.7,213.2,177.9,119.9,80.6,,,,,,
-146,,,,,,,,,,,,,,,,,,,,,,8.2,9.2,12.3,15.4,15,231.4,215.3,179.1,120.6,81,,,,,,
-145,,,,,,,,,,,,,,,,,,,,,,8.3,9.3,12.6,15.7,15.3,234.5,217.1,180.2,121.3,81.5,,,,,,
-144,,,,,,,,,,,,,,,,,,,,,,8.5,9.5,12.9,16.1,15.6,236.8,218.8,181.3,122.1,81.9,,,,,,
-143,,,,,,,,,,,,,,,,,,,,,,8.6,9.7,13.2,16.4,16.1,239.1,220.5,182.5,122.6,82.2,,,,,,
-142,,,,,,,,,,,,,,,,,,,,,,8.8,9.9,13.4,16.7,16.5,241.2,222,183.5,123.2,82.6,,,,,,
-141,,,,,,,,,,,,,,,,,,,,,,8.9,10.1,13.7,17.1,17.1,243,223.4,184.5,123.9,83.1,,,,,,
-140,,,,,,,,,,,,,,,,,,,,,,9.1,10.3,14,17.4,17.6,244.3,224.8,185.6,124.6,83.5,,,,,,
-139,,,,,,,,,,,,,,,,,,,,,,9.3,10.4,14.3,17.8,18.4,246,226.2,186.8,125.2,83.9,,,,,,
-138,,,,,,,,,,,,,,,,,,,,,,9.4,10.7,14.7,18.2,19.2,247.7,227.5,187.9,125.9,84.3,,,,,,
-137,,,,,,,,,,,,,,,,,,,,,,9.6,10.9,15,18.7,20.4,249.1,228.9,189.1,126.6,84.7,,,,,,
-136,,,,,,,,,,,,,,,,,,,,,,9.8,11.1,15.4,19.2,21.7,250.4,230.1,190.1,127.3,85,,,,,,
-135,,,,,,,,,,,,,,,,,,,,,,10,11.4,15.8,19.7,23.4,251.8,231.4,191,128,85.4,,,,,,
-134,,,,,,,,,,,,,,,,,,,,,,10.2,11.7,16.2,20.2,26,253.4,232.6,192,128.6,85.9,,,,,,
-133,,,,,,,,,,,,,,,,,,,,,,10.4,11.9,16.6,20.9,29.5,254.8,233.8,193,129.3,86.4,,,,,,
-132,,,,,,,,,,,,,,,,,,,,,,10.6,12.2,17,21.6,34.3,256.1,235,194.1,129.9,86.8,,,,,,
-131,,,,,,,,,,,,,,,,,,,,,,10.9,12.5,17.5,22.4,39.9,257.5,236.3,195.3,130.7,87.1,,,,,,
-130,,,,,,,,,,,,,,,,,,,,,,11.1,12.8,18,23.3,46.3,259,237.7,196.4,131.4,87.5,,,,,,
-129,,,,,,,,,,,,,,,,,,,,,,11.3,13.2,18.5,24.5,52.8,260.3,239.1,197.4,132,88,,,,,,
-128,,,,,,,,,,,,,,,,,,,,,,11.6,13.5,19,25.7,58.8,261.7,240.4,198.5,132.5,88.4,,,,,,
-127,,,,,,,,,,,,,,,,,,,,,,11.9,13.9,19.6,27.4,64.2,263,241.7,199.7,133.2,88.8,,,,,,
-126,,,,,,,,,,,,,,,,,,,,,,12.1,14.3,20.2,29.5,68.6,264.2,242.9,200.6,134,89.2,,,,,,
-125,,,,,,,,,,,,,,,,,,,,,,12.5,14.8,21,32.4,71.6,265.7,244.1,201.5,134.7,89.6,,,,,,
-124,,,,,,,,,,,,,,,,,,,,,,12.8,15.3,21.7,36.6,73.8,267.3,245.3,202.7,135.4,90.1,,,,,,
-123,,,,,,,,,,,,,,,,,,,,,,13.2,15.8,22.7,42.7,75.6,268.7,246.5,203.9,136.1,90.5,,,,,,
-122,,,,,,,,,,,,,,,,,,,,,,13.6,16.4,23.6,51.1,77,269.9,247.7,204.9,136.8,90.9,,,,,,
-121,,,,,,,,,,,,,,,,,,,,,,14,16.9,24.8,61.2,78.1,271.3,249.2,206,137.4,91.4,,,,,,
-120,,,,,,,,,,,,,,,,,,,,,,14.4,17.6,26.1,72.3,79.2,272.7,250.8,207,138.1,91.8,,,,,,
