Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 11:47:28
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
7.679340	198.822558
7.704354	198.578056
7.729368	198.333553
7.754382	198.089051
7.779396	197.844549
7.804410	197.600046
7.829424	197.355544
7.854439	197.107612
7.879453	196.852440
7.904467	196.597267
7.929481	196.342095
7.954495	196.086922
7.979509	195.831749
8.004523	195.576577
8.029537	195.321404
8.054552	195.066231
8.079566	194.811059
8.104580	194.553471
8.129594	194.290916
8.154608	194.028361
8.179622	193.765805
8.204636	193.503250
8.229651	193.240694
8.254665	192.978139
8.279679	192.715583
8.304693	192.453028
8.329707	192.190472
8.354721	191.928056
8.379735	191.665919
8.404750	191.403782
8.429764	191.141644
8.454778	190.879507
8.479792	190.617370
8.504806	190.355232
8.529820	190.093095
8.554834	189.830958
8.579848	189.568820
8.604863	189.309039
8.629877	189.053867
8.654891	188.798694
8.679905	188.543522
8.704919	188.288349
8.729933	188.033176
8.754947	187.778004
8.779962	187.522831
8.804976	187.267658
8.829990	187.012486
8.855004	186.760560
8.880018	186.514826
8.905032	186.269093
8.930046	186.023359
8.955060	185.777625
8.980075	185.531892
9.005089	185.286158
9.030103	185.040424
9.055117	184.794690
9.080131	184.548957
9.105145	184.305518
9.130159	184.066348
9.155174	183.827178
9.180188	183.588008
9.205202	183.348838
9.230216	183.109668
9.255230	182.870498
9.280244	182.631328
9.305258	182.392158
9.330273	182.152989
9.355287	181.914692
9.380301	181.677979
9.405315	181.441266
9.430329	181.204553
9.455343	180.967840
9.480357	180.731127
9.505371	180.494415
9.530386	180.257702
9.555400	180.020989
9.580414	179.784276
9.605428	179.542976
9.630442	179.293553
9.655456	179.044131
9.680470	178.794709
9.705485	178.545287
9.730499	178.295865
9.755513	178.046442
9.780527	177.797020
9.805541	177.547598
9.830555	177.298176
9.855569	177.041381
9.880584	176.771850
9.905598	176.502318
9.930612	176.232787
9.955626	175.963255
9.980640	175.693723
10.005654	175.424192
10.030668	175.154660
10.055682	174.885129
10.080697	174.615597
10.105711	174.357215
10.130725	174.117632
10.155739	173.878050
10.180753	173.638468
10.205767	173.398885
10.230781	173.159303
10.255796	172.919721
10.280810	172.680138
10.305824	172.440556
10.330838	172.200974
10.355852	171.984958
10.380866	171.807737
10.405880	171.630516
10.430894	171.453295
10.455909	171.276074
10.480923	171.098853
10.505937	170.921632
10.530951	170.744411
10.555965	170.567190
10.580979	170.389969
10.605993	170.205823
10.631008	170.010549
10.656022	169.815275
10.681036	169.620001
10.706050	169.424726
10.731064	169.229452
10.756078	169.034178
10.781092	168.838904
10.806107	168.643629
10.831121	168.448355
10.856135	168.224659
10.881149	167.956358
10.906163	167.688058
10.931177	167.419758
10.956191	167.151458
10.981205	166.883158
11.006220	166.614858
11.031234	166.346558
11.056248	166.078257
11.081262	165.809957
11.106276	165.544575
11.131290	165.283663
11.156304	165.022751
11.181319	164.761840
11.206333	164.500928
11.231347	164.240016
11.256361	163.979105
11.281375	163.718193
11.306389	163.457282
11.331403	163.196370
11.356418	162.963720
11.381432	162.773371
11.406446	162.583023
11.431460	162.392674
11.456474	162.202326
11.481488	162.011977
11.506502	161.821629
11.531516	161.631280
11.556531	161.440931
11.581545	161.250583
11.606559	161.059399
11.631573	160.866995
11.656587	160.674590
11.681601	160.482185
11.706615	160.289780
11.731630	160.097376
11.756644	159.904971
11.781658	159.712566
11.806672	159.520162
11.831686	159.327757
11.856700	159.111364
11.881714	158.860711
11.906728	158.610057
11.931743	158.359403
11.956757	158.108750
11.981771	157.858096
12.006785	157.607442
12.031799	157.356789
12.056813	157.106135
12.081827	156.855482
12.106842	156.608422
12.131856	156.366376
12.156870	156.124331
12.181884	155.882286
12.206898	155.640241
12.231912	155.398196
12.256926	155.156151
12.281941	154.914105
12.306955	154.672060
12.331969	154.430015
12.356983	154.215224
12.381997	154.037590
12.407011	153.859957
12.432025	153.682323
12.457039	153.504690
12.482054	153.327057
12.507068	153.149423
12.532082	152.971790
12.557096	152.794156
12.582110	152.616523
12.607124	152.438187
12.632138	152.258916
12.657153	152.079644
12.682167	151.900373
12.707181	151.721101
12.732195	151.541830
12.757209	151.362558
12.782223	151.183287
12.807237	151.004015
12.832251	150.824744
