Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 12:08:38
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
7.679340	391.960716
7.704354	391.416498
7.729368	390.885698
7.754382	390.383601
7.779396	389.881503
7.804410	389.379405
7.829424	388.877308
7.854439	388.375210
7.879453	387.873112
7.904467	387.371015
7.929481	386.868917
7.954495	386.366819
7.979509	385.857368
8.004523	385.332589
8.029537	384.807811
8.054552	384.283032
8.079566	383.758253
8.104580	383.233475
8.129594	382.708696
8.154608	382.183917
8.179622	381.659139
8.204636	381.134360
8.229651	380.621870
8.254665	380.134343
8.279679	379.646816
8.304693	379.159289
8.329707	378.671762
8.354721	378.184235
8.379735	377.696709
8.404750	377.209182
8.429764	376.721655
8.454778	376.234128
8.479792	375.738449
8.504806	375.226626
8.529820	374.714803
8.554834	374.202980
8.579848	373.691157
8.604863	373.179334
8.629877	372.667511
8.654891	372.155688
8.679905	371.643865
8.704919	371.132042
8.729933	370.631275
8.754947	370.151859
8.779962	369.672442
8.804976	369.193025
8.829990	368.713609
8.855004	368.234192
8.880018	367.754775
8.905032	367.275359
8.930046	366.795942
8.955060	366.316525
8.980075	365.829238
9.005089	365.327129
9.030103	364.825020
9.055117	364.322911
9.080131	363.820802
9.105145	363.318693
9.130159	362.816584
9.155174	362.314474
9.180188	361.812365
9.205202	361.310256
9.230216	360.818996
9.255230	360.347667
9.280244	359.876337
9.305258	359.405008
9.330273	358.933679
9.355287	358.462349
9.380301	357.991020
9.405315	357.519690
9.430329	357.048361
9.455343	356.577032
9.480357	356.097583
9.505371	355.603584
9.530386	355.109586
9.555400	354.615587
9.580414	354.121588
9.605428	353.627589
9.630442	353.133590
9.655456	352.639591
9.680470	352.145592
9.705485	351.651593
9.730499	351.168787
9.755513	350.705556
9.780527	350.242325
9.805541	349.779095
9.830555	349.315864
9.855569	348.852633
9.880584	348.389403
9.905598	347.926172
9.930612	347.462941
9.955626	346.999711
9.980640	346.529298
10.005654	346.046629
10.030668	345.563959
10.055682	345.081289
10.080697	344.598619
10.105711	344.115949
10.130725	343.633279
10.155739	343.150609
10.180753	342.667939
10.205767	342.185269
10.230781	341.713539
10.255796	341.260033
10.280810	340.806528
10.305824	340.353022
10.330838	339.899517
10.355852	339.446012
10.380866	338.992506
10.405880	338.539001
10.430894	338.085496
10.455909	337.631990
10.480923	337.170464
10.505937	336.695893
10.530951	336.221322
10.555965	335.746751
10.580979	335.272180
10.605993	334.797608
10.631008	334.323037
10.656022	333.848466
10.681036	333.373895
10.706050	332.899324
10.731064	332.436645
10.756078	331.992854
10.781092	331.549062
10.806107	331.105271
10.831121	330.661479
10.856135	330.217688
10.881149	329.773897
10.906163	329.330105
10.931177	328.886314
10.956191	328.442522
10.981205	327.991747
11.006220	327.530143
11.031234	327.068539
11.056248	326.606935
11.081262	326.145331
11.106276	325.683727
11.131290	325.222123
11.156304	324.760519
11.181319	324.298915
11.206333	323.837311
11.231347	323.386654
11.256361	322.952576
11.281375	322.518498
11.306389	322.084421
11.331403	321.650343
11.356418	321.216266
11.381432	320.782188
11.406446	320.348110
11.431460	319.914033
11.456474	319.479955
11.481488	319.038037
11.506502	318.584520
11.531516	318.131003
11.556531	317.677487
11.581545	317.223970
