0,1,2,3,4,5,6
Scan Type:,Crossline,Crossline,Crossline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,15.0 mm,100.0 mm,350.0 mm,15.0 mm,100.0 mm,350.0 mm
,Color [MediumVioletRed],Color [Orange],Color [DeepPink],Color [SlateBlue],Color [Teal],Color [Blue]
Coordinate [mm]:,,,,,,
25,113.7,72.3,16.9,113.4,72.3,17.6
26,111.8,71.8,16.9,110.9,71.7,17.6
27,107,70.9,16.8,106.3,70.3,17.4
28,96.9,69.8,16.9,95.8,68.9,17.3
29,79.1,67.6,16.9,77.4,66.7,16.9
30,51.9,63.5,16.9,53.8,62.5,16.9
31,30.4,56.2,16.8,31.3,55.2,16.8
32,17.4,44.7,16.5,17.7,43.8,16.8
33,10.8,30.1,16.4,12,29.7,16.8
34,7.9,19.6,16.4,9,19.8,16.7
35,6.4,13.3,16.3,7.3,13.7,16.1
36,5.3,10,16,6.3,10.5,15.5
37,4.9,8.6,15.3,5.8,8.9,14.8
38,4.6,7.5,13.8,4.9,8,13.6
39,4.2,7.1,12.1,4.7,7.4,11.5
40,3.9,6.5,9.4,4.6,6.8,9.2
41,3.8,6.1,7.1,4.3,6.3,6.9
42,3.6,5.6,5.2,4.2,6.1,5.2
43,3.5,5.2,4,4.1,6.1,4
44,3.4,5,3.4,4,5.5,3.2
45,3.2,4.8,3.2,3.7,5.2,2.9
46,3,4.6,2.8,3.7,5.1,2.9
47,2.8,4.5,2.5,3.7,5,2.7
48,2.7,4.3,2.4,3.6,4.7,2.7
49,2.6,4.1,2.4,3.4,4.2,2.6
50,2.6,3.8,2.4,3.3,4.2,2.3
51,2.6,3.7,2.1,3.2,4,2.4
52,2.3,3.5,2.1,3.1,4.1,2.4
53,2.1,3.4,2.1,3,4.1,2.3
54,2.1,3.3,2,2.9,3.9,2.2
55,2.1,3.1,2,2.8,3.7,2.2
56,2.1,3.2,2,2.9,3.7,2.2
57,2,3,1.9,2.8,3.4,2.1
58,2,2.8,1.8,2.6,3.2,2
59,1.7,2.8,1.8,2.5,3.2,2
60,1.7,2.8,1.9,2.5,3.1,2
61,1.8,2.8,2,2.4,3,1.8
62,1.8,2.3,1.7,2.3,2.9,1.7
63,1.7,2.3,1.7,2.3,2.8,1.6
64,1.5,2.3,1.6,2.2,2.7,1.7
65,1.4,2.3,1.6,2.1,2.8,1.6
66,1.5,2.1,1.7,2.3,2.6,1.6
67,1.7,2.1,1.6,2,2.5,1.6
68,1.7,2.1,1.6,1.9,2.5,1.5
69,1.5,2,1.5,2,2.5,1.5
70,1.3,1.9,1.4,1.9,2.5,1.6
71,1.3,1.9,1.3,1.8,2.3,1.6
72,1.4,2,1.4,1.7,2.3,1.5
73,1.4,1.9,1.3,1.6,2.3,1.4
74,1.3,1.8,1.5,1.6,2.1,1.2
75,1.3,1.7,1.4,1.6,2,1.3
76,1.4,1.5,1.2,1.7,2.1,1.2
77,1.3,1.4,1.2,1.6,2.1,1.3
78,1,1.4,1.3,1.6,2,1.3
79,0.9,1.4,1.2,1.5,2,1.4
80,1.1,1.4,1.2,1.5,2,1.4
81,,1.5,1.1,,1.8,1.4
82,,1.5,1.2,,1.7,1.2
83,,1.4,1.3,,,1.2
84,,,1.1,,,1.3
85,,,1,,,1.4
86,,,1,,,1.2
87,,,1.1,,,1.1
88,,,1.3,,,1.1
89,,,1.4,,,1.1
90,,,1,,,1
