Plans,AAA_Gy,AXB_Gy,Ref_Gy
10x10 FiF,1.259,1.255,1.266744
10x10 G0125F,0.475,0.474,0.479413
10x10G02Gy,2.003,1.998,2.017702
10X10 G0 Asym,0.859,0.858,0.873106
10x10 G0 FSD,0.702,0.7,0.711810
10x10 G0 ISO,0.842,0.839,0.848726
10X10 G0 MLC,0.806,0.804,0.818605
10X10G0 POST,0.826,0.82,0.832372
10X10G90,0.697,0.688,0.697080
,,,
