0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.4,5.6,,,
-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.5,5.7,,,
-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,6.5,5.8,,,
-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.7,6.6,5.8,,,
-153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.8,6.8,6,,,
-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.9,6.9,6.1,,,
-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.6,6.1,7,6.2,,,
-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.7,6.2,7.2,6.3,,,
-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.8,6.3,7.3,6.4,,,
-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.9,6.4,7.5,6.5,,,
-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,5,6.6,7.6,6.6,,,
-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.1,6.7,7.7,6.7,,,
-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.2,6.8,7.9,6.8,,,
-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,5.3,7,8,6.9,,,
-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.5,7.2,8.2,7,,,
-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.6,7.3,8.3,7.2,,,
-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.6,7.5,8.5,7.3,,,
-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.8,7.7,8.7,7.4,,,
-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6,7.9,8.9,7.6,,,
-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.1,8,9,7.7,,,
-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,6.2,8.2,9.2,7.9,,,
-136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.4,8.4,9.4,8.1,,,
-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,6.5,8.6,9.5,8.5,,,
-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.7,8.8,9.7,8.8,,,
-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6.9,9,9.9,9.8,,,
-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,7,9.2,10.1,10.8,,,
-131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,7.2,9.4,10.3,13.2,,,
-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,7.4,9.7,10.5,16.3,,,
-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,7.5,10,10.8,20.2,,,
-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,7.8,10.2,11.1,23.1,,,
-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,10.5,11.4,24.5,,,
-126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,8.2,10.7,11.7,25.9,,,
-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,8.4,11,12.2,26.4,,,
