# Density, dose
0.00E+00,1.45E-11
5.00E-01,1.53E-11
1.00E+00,1.50E-11
1.50E+00,1.46E-11
2.00E+00,1.42E-11
2.50E+00,1.38E-11
3.00E+00,1.35E-11
3.50E+00,1.31E-11
4.00E+00,1.28E-11
