0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
-1,72.1,,74.4,,75.6,,77.5,,79.2,,82.6,,87,,201.2,,207.4,,210.8,,212.4,,216.6,,220.3,,226.7,,46.6,,48.4,,49.6,,51,,52.8,,56,,60.9,,248.6,,256.9,,261.3,,265.2,,269.8,,277.3,,287.8,
0,71.8,,74.3,,75.5,,77.4,,79.3,,82.7,,87,,200.7,,207,,210.7,,212.7,,216.2,,220.3,,227,,46.5,,48.2,,49.5,,51,,52.7,,56,,61,,248.3,,256.7,,260.9,,265.2,,269.7,,277.3,,287.6,
1,71.9,,74.3,,75.4,,77.5,,79.3,,82.6,,87.1,,200.6,,207,,210.6,,212.5,,216.4,,220.5,,227,,46.4,,48.3,,49.5,,51,,52.6,,56.1,,61,,247.9,,256.5,,260.9,,265.3,,270.1,,277.6,,287.8,
2,71.7,,74.1,,75.6,,77.2,,79.2,,82.7,,87.2,,200.1,,206.8,,210.1,,212.5,,216.1,,220.6,,227.4,,46.4,,48.2,,49.5,,51,,52.8,,56.1,,61.2,,247.4,,256.5,,260.9,,265.5,,269.9,,277.9,,288.1,
3,75.4,,77.6,,78.9,,80.5,,82.1,,85.3,,89.5,,204,,210,,222.2,,225.4,,228.1,,233.7,,239.9,,51.4,,53.3,,54.6,,56,,57.7,,61.1,,66,,259.4,,274.1,,277.6,,281,,285.1,,292.3,,302,
4,83.8,,86.4,,87.6,,89.4,,91.1,,94.4,,98.4,,221.7,,228.3,,238.5,,241.7,,244.6,,250.3,,256.1,,59.1,,61.5,,62.7,,64.3,,66.1,,69.7,,74.7,,290.5,,305.9,,309.6,,313.6,,317.3,,324.7,,334.5,
5,90,,93.1,,94.6,,96.1,,97.9,,101.1,,105.3,,234.3,,242.2,,250.4,,253.7,,256.5,,261.6,,267.6,,65.4,,68.3,,69.7,,71.3,,73.1,,76.7,,81.6,,315,,331.9,,335.8,,339.7,,343.5,,351,,360.4,
6,94.4,,98,,99.6,,101.2,,102.9,,106.2,,110.1,,242.6,,252,,259.1,,262.5,,265.5,,270.5,,276.2,,70.4,,74.1,,75.6,,77.1,,78.9,,82.6,,87.6,,333.8,,352.8,,356.8,,360.8,,365,,372.6,,381.6,
7,97.5,,101.9,,103.5,,105.1,,106.9,,110.1,,113.8,,248.7,,259.1,,265.2,,268.7,,271.7,,276.8,,282.2,,74.6,,79,,80.7,,82,,83.9,,87.7,,92.6,,348.7,,370.3,,374.7,,378.4,,382.4,,389.8,,399.1,
8,99.7,,104.9,,106.4,,108.1,,109.8,,113,,116.7,,252.1,,264.2,,269.8,,273.2,,276.2,,281.5,,286.9,,77.8,,83.1,,84.7,,86.4,,88.3,,92,,96.9,,360,,384.9,,389.5,,393.8,,397.4,,404.5,,413.5,
9,101.1,,106.9,,108.5,,110.3,,112,,115.2,,118.9,,254.4,,268,,273,,276.5,,279.7,,284.5,,290.3,,80.3,,86.7,,88.3,,90.1,,91.8,,95.7,,100.4,,368.9,,396.7,,401.7,,406.1,,410,,417.1,,425.6,
10,102.1,,108.3,,110,,111.7,,113.6,,116.7,,120.3,,255.3,,270.6,,275.2,,278.8,,281.9,,286.8,,292.2,,82.3,,89.6,,91.5,,93.3,,95,,98.9,,103.3,,375.6,,406.8,,412.2,,416.5,,420.5,,427.1,,435.9,
11,102.6,,109.5,,111.1,,112.9,,114.6,,117.8,,121.1,,255.8,,272.1,,276.7,,280.3,,283.3,,288,,293.4,,83.8,,92.2,,94.1,,95.7,,97.6,,101.4,,105.9,,380.4,,415,,421.1,,425.4,,429.1,,436.3,,444.6,
12,102.8,,110.1,,111.9,,113.6,,115.5,,118.6,,121.8,,255.6,,272.7,,277.1,,281,,284,,289.2,,294.4,,85,,94.3,,96.3,,98.1,,100,,103.6,,108,,383.9,,421.9,,427.9,,432.3,,436.2,,443.8,,451.6,
13,102.8,,110.4,,112.4,,114.2,,116,,119,,122.4,,255,,272.9,,277.7,,281.1,,284.2,,289.5,,294.6,,85.9,,96.2,,98.2,,100,,101.9,,105.3,,109.7,,386.8,,427.5,,434.4,,439,,443,,449.6,,457.3,
14,102.4,,110.7,,112.5,,114.4,,116.2,,119.1,,122.5,,254.1,,272.6,,277.4,,281.1,,284.2,,289.6,,294.7,,86.6,,97.6,,99.8,,101.7,,103.3,,106.9,,111.2,,388.3,,432.1,,439.4,,444.2,,448,,454.7,,462.2,
15,102.1,,110.5,,112.7,,114.3,,116,,119.2,,122.3,,252.9,,272,,276.7,,280.9,,283.9,,288.9,,294,,87,,98.7,,101.3,,103.1,,104.9,,108.4,,112.3,,389.4,,435.5,,443,,448.2,,452.1,,458.5,,466.3,
16,101.8,,110.3,,112.5,,114.2,,116.1,,119.1,,122.3,,251.3,,271.2,,275.9,,279.6,,283,,288.3,,293,,87.2,,99.7,,102.4,,104.1,,105.9,,109.5,,113.7,,389.2,,438.5,,446.6,,451.6,,455.4,,462.3,,469.2,
17,101.3,,110,,112.2,,113.9,,115.9,,118.9,,122,,249.6,,269.7,,274.9,,278.5,,282.3,,287.2,,292.4,,87.3,,100.5,,103.2,,104.9,,107,,110.3,,114.3,,389.3,,439.6,,449.1,,454.4,,458.1,,464.5,,472.3,
18,100.6,,109.5,,111.9,,113.6,,115.4,,118.5,,121.8,,248.2,,268.4,,273.7,,277.8,,280.7,,286.1,,292,,87.3,,100.9,,103.8,,105.9,,107.8,,111,,114.9,,388.9,,441.3,,451.1,,456.3,,460.2,,466.6,,473.7,
19,100.1,,109.2,,111.3,,113.1,,115,,118,,121.3,,246.6,,267.1,,272.3,,276.1,,280.1,,285,,290.3,,87.4,,101.3,,104.4,,106.2,,108.2,,111.5,,115.4,,387.5,,442,,453.2,,457.7,,461.8,,468.4,,475.3,
20,99.4,,108.7,,110.9,,112.9,,114.7,,117.6,,120.9,,244.8,,265.7,,270.9,,275.2,,278.3,,283.9,,289.4,,87.1,,101.8,,104.9,,106.8,,108.5,,111.9,,115.7,,386.7,,442.4,,453.3,,458.9,,462.5,,469.6,,476.1,
21,98.7,,108,,110.3,,112.3,,114,,117.2,,120.5,,242.8,,264,,269.1,,273.3,,277.3,,282.3,,288.1,,86.9,,101.8,,105.3,,107.1,,109.1,,112.2,,116,,385.5,,442.5,,453.8,,459.3,,463.7,,470.2,,476.8,
22,98,,107.4,,109.9,,111.8,,113.5,,116.7,,120,,241.2,,262.2,,267.8,,272,,275.3,,281.1,,286.8,,86.7,,102,,105.5,,107.5,,109.2,,112.5,,116.1,,383.9,,442,,454.2,,459.6,,464,,470.3,,477.1,
23,97.4,,106.7,,109.3,,111.2,,113,,116,,119.4,,239.2,,260.3,,266.2,,270.5,,274.3,,280.1,,285.4,,86.4,,101.7,,105.3,,107.5,,109.4,,112.4,,116.1,,382.2,,440.7,,453.4,,459.3,,463.5,,469.9,,476.6,
24,96.9,,106.2,,108.8,,110.9,,112.4,,115.7,,118.9,,237.7,,258.7,,264.4,,268.9,,272.7,,278.5,,284.3,,86.1,,101.8,,105.6,,107.5,,109.3,,112.6,,116.1,,380.2,,440.1,,453.2,,458.8,,463.6,,470,,476.6,
25,96.2,,105.7,,107.9,,110,,111.9,,115.1,,118.3,,235.8,,257,,262.8,,267.4,,271.2,,277,,282.9,,85.8,,101.5,,105.5,,107.5,,109.4,,112.4,,116,,378.8,,438.8,,452.4,,458.4,,462.7,,468.8,,475.7,
26,95.7,,104.9,,107.6,,109.6,,111.3,,114.6,,118.1,,234.3,,255.2,,261.4,,265.7,,269.9,,275.6,,281.8,,85.4,,101.3,,105.3,,107.5,,109.2,,112.3,,115.7,,376.7,,437.5,,450.9,,458,,462,,468.2,,475,
27,95,,104.4,,106.8,,109,,110.9,,114.1,,117.4,,232.4,,253.6,,259.4,,264.5,,268.5,,274.3,,280.4,,85,,101.1,,105,,107.1,,109,,112.3,,115.6,,374.5,,436.1,,450.4,,456.5,,460.8,,467.5,,473.7,
28,94.4,,103.6,,106.3,,108.4,,110.4,,113.7,,116.9,,230.5,,251.7,,258,,262.8,,266.7,,273.2,,279.2,,84.8,,100.7,,104.9,,106.9,,108.9,,111.9,,115.3,,372.3,,433.7,,448.7,,454.8,,459.7,,465.6,,472.6,
