	6.40	11992411.00000000	
	6.80	12188436.00000000	
	7.20	12393552.00000000	
	7.60	12149669.00000000	
	8.00	12181726.00000000	
	8.40	12299292.00000000	
	8.80	11971051.00000000	
	9.20	12245230.00000000	
	9.60	12421723.00000000	
	10.00	12111558.00000000	
	10.40	12590763.00000000	
	10.80	13641521.00000000	
	11.20	13288300.00000000	
	11.60	13238582.00000000	
	12.00	12552844.00000000	
	12.40	13108350.00000000	
	12.80	13197829.00000000	
	13.20	12872416.00000000	
	13.60	12596199.00000000	
	14.00	13462377.00000000	
	14.40	13037549.00000000	
	14.80	12800843.00000000	
	15.20	13332354.00000000	
	15.60	12730531.00000000	
	16.00	9662750.00000000	
	16.40	1849840.00000000	
